"Time","{client_name=""geth"", client_type=""execution"", instance=""el-01-geth-lighthouse:9001"", job=""el-01-geth-lighthouse"", service=""el-01-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-02-geth-lighthouse:9001"", job=""el-02-geth-lighthouse"", service=""el-02-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-03-geth-lighthouse:9001"", job=""el-03-geth-lighthouse"", service=""el-03-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-04-geth-lighthouse:9001"", job=""el-04-geth-lighthouse"", service=""el-04-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-05-geth-lighthouse:9001"", job=""el-05-geth-lighthouse"", service=""el-05-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-01-geth-lighthouse:9001"", job=""el-01-geth-lighthouse"", service=""el-01-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-04-geth-lighthouse:9001"", job=""el-04-geth-lighthouse"", service=""el-04-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-05-geth-lighthouse:9001"", job=""el-05-geth-lighthouse"", service=""el-05-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-02-geth-lighthouse:9001"", job=""el-02-geth-lighthouse"", service=""el-02-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-03-geth-lighthouse:9001"", job=""el-03-geth-lighthouse"", service=""el-03-geth-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-06-nethermind-lighthouse:9001"", job=""el-06-nethermind-lighthouse"", service=""el-06-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-07-nethermind-lighthouse:9001"", job=""el-07-nethermind-lighthouse"", service=""el-07-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-08-nethermind-lighthouse:9001"", job=""el-08-nethermind-lighthouse"", service=""el-08-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-09-nethermind-lighthouse:9001"", job=""el-09-nethermind-lighthouse"", service=""el-09-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-10-nethermind-lighthouse:9001"", job=""el-10-nethermind-lighthouse"", service=""el-10-nethermind-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-11-besu-lighthouse:9001"", job=""el-11-besu-lighthouse"", service=""el-11-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-12-besu-lighthouse:9001"", job=""el-12-besu-lighthouse"", service=""el-12-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-13-besu-lighthouse:9001"", job=""el-13-besu-lighthouse"", service=""el-13-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-14-besu-lighthouse:9001"", job=""el-14-besu-lighthouse"", service=""el-14-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-15-besu-lighthouse:9001"", job=""el-15-besu-lighthouse"", service=""el-15-besu-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-10-nethermind-lighthouse:9001"", job=""el-10-nethermind-lighthouse"", service=""el-10-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-09-nethermind-lighthouse:9001"", job=""el-09-nethermind-lighthouse"", service=""el-09-nethermind-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-14-besu-lighthouse:9001"", job=""el-14-besu-lighthouse"", service=""el-14-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-15-besu-lighthouse:9001"", job=""el-15-besu-lighthouse"", service=""el-15-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-12-besu-lighthouse:9001"", job=""el-12-besu-lighthouse"", service=""el-12-besu-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-07-nethermind-lighthouse:9001"", job=""el-07-nethermind-lighthouse"", service=""el-07-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-06-nethermind-lighthouse:9001"", job=""el-06-nethermind-lighthouse"", service=""el-06-nethermind-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-13-besu-lighthouse:9001"", job=""el-13-besu-lighthouse"", service=""el-13-besu-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-08-nethermind-lighthouse:9001"", job=""el-08-nethermind-lighthouse"", service=""el-08-nethermind-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-11-besu-lighthouse:9001"", job=""el-11-besu-lighthouse"", service=""el-11-besu-lighthouse""}"
2025-11-16 14:24:15,1.29 vCPU,1.07 vCPU,1.27 vCPU,1.21 vCPU,1.13 vCPU,,,,,,1.41 vCPU,1.56 vCPU,1.43 vCPU,1.65 vCPU,2.18 vCPU,2.04 vCPU,2.61 vCPU,3.06 vCPU,2.92 vCPU,2.80 vCPU,,,,,,,,,,
2025-11-16 14:24:30,2.36 vCPU,2.11 vCPU,2.01 vCPU,2.25 vCPU,2.15 vCPU,,,,,,1.93 vCPU,2.00 vCPU,1.89 vCPU,2.27 vCPU,2.95 vCPU,3.15 vCPU,3.83 vCPU,3.98 vCPU,4.00 vCPU,4.33 vCPU,,,,,,,,,,
2025-11-16 14:24:45,2.71 vCPU,2.77 vCPU,2.97 vCPU,2.71 vCPU,2.79 vCPU,,,,,,2.45 vCPU,2.65 vCPU,2.56 vCPU,2.57 vCPU,2.59 vCPU,4.20 vCPU,4.63 vCPU,4.88 vCPU,4.73 vCPU,4.77 vCPU,,,,,,,,,,
2025-11-16 14:25:00,2.94 vCPU,3.21 vCPU,3.12 vCPU,2.94 vCPU,3.01 vCPU,,,,,,2.76 vCPU,2.88 vCPU,2.84 vCPU,2.56 vCPU,1.97 vCPU,6.68 vCPU,5.97 vCPU,6.15 vCPU,5.82 vCPU,5.68 vCPU,,,,,,,,,,
2025-11-16 14:25:15,2.95 vCPU,3.26 vCPU,3.57 vCPU,2.95 vCPU,3.22 vCPU,,,,,,3.39 vCPU,3.47 vCPU,3.53 vCPU,3.24 vCPU,3.01 vCPU,11.1 vCPU,8.22 vCPU,10.6 vCPU,8.38 vCPU,10.1 vCPU,,,,,,,,,,
2025-11-16 14:25:30,3.68 vCPU,3.70 vCPU,3.71 vCPU,3.68 vCPU,3.67 vCPU,,,,,,4.24 vCPU,4.05 vCPU,3.99 vCPU,3.88 vCPU,3.68 vCPU,14.6 vCPU,14.3 vCPU,13.4 vCPU,13.0 vCPU,17.2 vCPU,,,,,,,,,,
2025-11-16 14:25:45,3.90 vCPU,3.89 vCPU,4.07 vCPU,3.90 vCPU,4.06 vCPU,,,,,,4.01 vCPU,3.78 vCPU,3.74 vCPU,4.12 vCPU,4.16 vCPU,15.4 vCPU,15.6 vCPU,13.9 vCPU,16.8 vCPU,19.6 vCPU,,,,,,,,,,
2025-11-16 14:26:00,4.13 vCPU,4.04 vCPU,3.77 vCPU,4.13 vCPU,3.90 vCPU,,,,,,3.54 vCPU,3.40 vCPU,3.35 vCPU,3.74 vCPU,3.46 vCPU,14.1 vCPU,17.4 vCPU,11.2 vCPU,18.1 vCPU,16.4 vCPU,,,,,,,,,,
2025-11-16 14:26:15,3.63 vCPU,3.84 vCPU,3.82 vCPU,3.64 vCPU,3.83 vCPU,,,,,,3.24 vCPU,3.19 vCPU,3.28 vCPU,3.45 vCPU,3.22 vCPU,13.4 vCPU,12.2 vCPU,11.2 vCPU,15.6 vCPU,11.0 vCPU,,,,,,,,,,
2025-11-16 14:26:30,3.79 vCPU,3.58 vCPU,3.41 vCPU,3.79 vCPU,3.59 vCPU,,,,,,3.14 vCPU,3.09 vCPU,3.03 vCPU,3.23 vCPU,3.22 vCPU,10.7 vCPU,10.9 vCPU,9.27 vCPU,12.5 vCPU,8.92 vCPU,,,,,,,,,,
2025-11-16 14:26:45,3.45 vCPU,3.38 vCPU,3.58 vCPU,3.45 vCPU,3.54 vCPU,,,,,,3.22 vCPU,3.11 vCPU,2.94 vCPU,3.04 vCPU,3.10 vCPU,8.90 vCPU,7.33 vCPU,8.13 vCPU,10.9 vCPU,8.67 vCPU,,,,,,,,,,
2025-11-16 14:27:00,3.62 vCPU,3.58 vCPU,3.49 vCPU,3.62 vCPU,3.42 vCPU,,,,,,2.98 vCPU,2.89 vCPU,2.95 vCPU,3.07 vCPU,2.93 vCPU,8.60 vCPU,11.6 vCPU,9.33 vCPU,10.2 vCPU,8.42 vCPU,,,,,,,,,,
2025-11-16 14:27:15,3.37 vCPU,3.60 vCPU,3.62 vCPU,3.37 vCPU,3.59 vCPU,,,,,,2.99 vCPU,2.79 vCPU,2.98 vCPU,3.04 vCPU,2.82 vCPU,8.70 vCPU,10.6 vCPU,9.98 vCPU,9.45 vCPU,7.90 vCPU,,,,,,,,,,
2025-11-16 14:27:30,3.59 vCPU,3.48 vCPU,3.32 vCPU,3.59 vCPU,3.47 vCPU,,,,,,2.96 vCPU,2.74 vCPU,2.97 vCPU,2.99 vCPU,2.84 vCPU,8.18 vCPU,10.7 vCPU,9.93 vCPU,8.50 vCPU,7.43 vCPU,,,,,,,,,,
2025-11-16 14:27:45,3.46 vCPU,3.40 vCPU,3.57 vCPU,3.46 vCPU,3.57 vCPU,,,,,,3.00 vCPU,2.74 vCPU,2.94 vCPU,2.96 vCPU,2.97 vCPU,7.45 vCPU,6.43 vCPU,6.88 vCPU,14.7 vCPU,8.15 vCPU,,,,,,,,,,
2025-11-16 14:28:00,3.57 vCPU,3.52 vCPU,3.47 vCPU,3.57 vCPU,3.37 vCPU,,,,,,2.96 vCPU,2.69 vCPU,3.00 vCPU,2.95 vCPU,3.00 vCPU,7.48 vCPU,6.83 vCPU,8.78 vCPU,14.4 vCPU,7.87 vCPU,,,,,,,,,,
2025-11-16 14:28:15,3.38 vCPU,3.59 vCPU,3.61 vCPU,3.38 vCPU,3.59 vCPU,,,,,,3.01 vCPU,2.79 vCPU,2.95 vCPU,2.87 vCPU,2.99 vCPU,7.02 vCPU,6.25 vCPU,8.57 vCPU,13.7 vCPU,7.72 vCPU,,,,,,,,,,
2025-11-16 14:28:30,3.50 vCPU,3.40 vCPU,3.26 vCPU,3.50 vCPU,3.39 vCPU,,,,,,2.96 vCPU,2.74 vCPU,2.91 vCPU,2.74 vCPU,2.89 vCPU,7.22 vCPU,8.17 vCPU,8.50 vCPU,6.87 vCPU,7.23 vCPU,,,,,,,,,,
2025-11-16 14:28:45,3.42 vCPU,3.33 vCPU,3.50 vCPU,3.42 vCPU,3.49 vCPU,,,,,,2.94 vCPU,2.77 vCPU,2.77 vCPU,2.74 vCPU,2.88 vCPU,7.60 vCPU,7.72 vCPU,5.68 vCPU,7.02 vCPU,8.70 vCPU,,,,,,,,,,
2025-11-16 14:29:00,3.50 vCPU,3.46 vCPU,3.38 vCPU,3.50 vCPU,3.31 vCPU,,,,,,2.84 vCPU,2.85 vCPU,2.77 vCPU,2.73 vCPU,2.89 vCPU,8.12 vCPU,9.42 vCPU,6.28 vCPU,6.93 vCPU,8.98 vCPU,,,,,,,,,,
2025-11-16 14:29:15,3.28 vCPU,3.46 vCPU,3.47 vCPU,3.28 vCPU,3.46 vCPU,,,,,,2.87 vCPU,2.91 vCPU,2.77 vCPU,2.75 vCPU,2.92 vCPU,7.40 vCPU,6.92 vCPU,8.48 vCPU,7.05 vCPU,8.58 vCPU,,,,,,,,,,
