"Time","{client_name=""geth"", client_type=""execution"", instance=""el-01-geth-lighthouse:9001"", job=""el-01-geth-lighthouse"", service=""el-01-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-02-geth-lighthouse:9001"", job=""el-02-geth-lighthouse"", service=""el-02-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-03-geth-lighthouse:9001"", job=""el-03-geth-lighthouse"", service=""el-03-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-04-geth-lighthouse:9001"", job=""el-04-geth-lighthouse"", service=""el-04-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-05-geth-lighthouse:9001"", job=""el-05-geth-lighthouse"", service=""el-05-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-05-geth-lighthouse:9001"", job=""el-05-geth-lighthouse"", service=""el-05-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-03-geth-lighthouse:9001"", job=""el-03-geth-lighthouse"", service=""el-03-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-01-geth-lighthouse:9001"", job=""el-01-geth-lighthouse"", service=""el-01-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-02-geth-lighthouse:9001"", job=""el-02-geth-lighthouse"", service=""el-02-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-04-geth-lighthouse:9001"", job=""el-04-geth-lighthouse"", service=""el-04-geth-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-06-nethermind-lighthouse:9001"", job=""el-06-nethermind-lighthouse"", service=""el-06-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-07-nethermind-lighthouse:9001"", job=""el-07-nethermind-lighthouse"", service=""el-07-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-08-nethermind-lighthouse:9001"", job=""el-08-nethermind-lighthouse"", service=""el-08-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-09-nethermind-lighthouse:9001"", job=""el-09-nethermind-lighthouse"", service=""el-09-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-10-nethermind-lighthouse:9001"", job=""el-10-nethermind-lighthouse"", service=""el-10-nethermind-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-11-besu-lighthouse:9001"", job=""el-11-besu-lighthouse"", service=""el-11-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-12-besu-lighthouse:9001"", job=""el-12-besu-lighthouse"", service=""el-12-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-13-besu-lighthouse:9001"", job=""el-13-besu-lighthouse"", service=""el-13-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-14-besu-lighthouse:9001"", job=""el-14-besu-lighthouse"", service=""el-14-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-15-besu-lighthouse:9001"", job=""el-15-besu-lighthouse"", service=""el-15-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-15-besu-lighthouse:9001"", job=""el-15-besu-lighthouse"", service=""el-15-besu-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-09-nethermind-lighthouse:9001"", job=""el-09-nethermind-lighthouse"", service=""el-09-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-10-nethermind-lighthouse:9001"", job=""el-10-nethermind-lighthouse"", service=""el-10-nethermind-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-12-besu-lighthouse:9001"", job=""el-12-besu-lighthouse"", service=""el-12-besu-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-08-nethermind-lighthouse:9001"", job=""el-08-nethermind-lighthouse"", service=""el-08-nethermind-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-14-besu-lighthouse:9001"", job=""el-14-besu-lighthouse"", service=""el-14-besu-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-06-nethermind-lighthouse:9001"", job=""el-06-nethermind-lighthouse"", service=""el-06-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-07-nethermind-lighthouse:9001"", job=""el-07-nethermind-lighthouse"", service=""el-07-nethermind-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-13-besu-lighthouse:9001"", job=""el-13-besu-lighthouse"", service=""el-13-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-11-besu-lighthouse:9001"", job=""el-11-besu-lighthouse"", service=""el-11-besu-lighthouse""}"
2025-11-16 14:42:45,,,,,0.664 vCPU,,,,,,,,,,,,,,,2.07 vCPU,,,,,,,,,,
2025-11-16 14:43:00,1.25 vCPU,0.970 vCPU,1.28 vCPU,0.873 vCPU,1.46 vCPU,,,,,,1.95 vCPU,1.45 vCPU,1.50 vCPU,2.40 vCPU,1.78 vCPU,2.00 vCPU,3.11 vCPU,4.06 vCPU,5.05 vCPU,3.06 vCPU,,,,,,,,,,
2025-11-16 14:43:15,2.13 vCPU,2.11 vCPU,2.56 vCPU,2.06 vCPU,2.65 vCPU,,,,,,2.62 vCPU,2.33 vCPU,2.32 vCPU,3.25 vCPU,2.26 vCPU,9.04 vCPU,5.38 vCPU,6.37 vCPU,7.24 vCPU,6.65 vCPU,,,,,,,,,,
2025-11-16 14:43:30,2.71 vCPU,2.84 vCPU,2.69 vCPU,3.10 vCPU,3.14 vCPU,,,,,,4.15 vCPU,3.87 vCPU,3.85 vCPU,3.59 vCPU,3.60 vCPU,12.8 vCPU,8.88 vCPU,13.5 vCPU,10.1 vCPU,15.3 vCPU,,,,,,,,,,
2025-11-16 14:43:45,3.21 vCPU,3.58 vCPU,3.21 vCPU,3.65 vCPU,3.30 vCPU,,,,,,4.00 vCPU,4.15 vCPU,4.25 vCPU,3.73 vCPU,3.87 vCPU,17.0 vCPU,12.1 vCPU,16.3 vCPU,11.5 vCPU,18.4 vCPU,,,,,,,,,,
2025-11-16 14:44:00,3.31 vCPU,3.34 vCPU,3.19 vCPU,3.34 vCPU,3.36 vCPU,,,,,,3.95 vCPU,4.07 vCPU,4.38 vCPU,4.31 vCPU,4.25 vCPU,15.6 vCPU,13.8 vCPU,19.2 vCPU,11.9 vCPU,19.3 vCPU,,,,,,,,,,
2025-11-16 14:44:15,3.57 vCPU,3.61 vCPU,3.58 vCPU,3.33 vCPU,3.52 vCPU,,,,,,3.24 vCPU,3.41 vCPU,3.77 vCPU,3.95 vCPU,3.61 vCPU,14.8 vCPU,17.2 vCPU,15.4 vCPU,15.0 vCPU,13.5 vCPU,,,,,,,,,,
2025-11-16 14:44:30,3.34 vCPU,3.18 vCPU,3.33 vCPU,3.42 vCPU,3.41 vCPU,,,,,,3.10 vCPU,3.09 vCPU,3.47 vCPU,3.53 vCPU,3.36 vCPU,15.7 vCPU,15.8 vCPU,12.9 vCPU,13.8 vCPU,11.6 vCPU,,,,,,,,,,
2025-11-16 14:44:45,3.27 vCPU,3.35 vCPU,3.39 vCPU,3.37 vCPU,3.10 vCPU,,,,,,3.13 vCPU,2.97 vCPU,3.20 vCPU,3.09 vCPU,3.20 vCPU,12.4 vCPU,14.1 vCPU,13.6 vCPU,13.0 vCPU,10.3 vCPU,,,,,,,,,,
2025-11-16 14:45:00,3.05 vCPU,3.02 vCPU,2.93 vCPU,3.02 vCPU,2.87 vCPU,,,,,,3.21 vCPU,3.08 vCPU,2.91 vCPU,3.04 vCPU,3.16 vCPU,11.6 vCPU,9.82 vCPU,12.7 vCPU,8.45 vCPU,7.92 vCPU,,,,,,,,,,
2025-11-16 14:45:15,3.07 vCPU,3.05 vCPU,3.08 vCPU,2.79 vCPU,3.03 vCPU,,,,,,3.11 vCPU,3.03 vCPU,2.67 vCPU,2.86 vCPU,3.03 vCPU,7.77 vCPU,9.50 vCPU,12.3 vCPU,7.72 vCPU,8.08 vCPU,,,,,,,,,,
2025-11-16 14:45:30,2.92 vCPU,2.78 vCPU,2.92 vCPU,3.03 vCPU,3.01 vCPU,,,,,,3.04 vCPU,2.94 vCPU,2.75 vCPU,2.82 vCPU,3.01 vCPU,7.45 vCPU,9.67 vCPU,8.17 vCPU,7.10 vCPU,7.27 vCPU,,,,,,,,,,
2025-11-16 14:45:45,2.89 vCPU,2.98 vCPU,3.00 vCPU,3.00 vCPU,2.93 vCPU,,,,,,2.81 vCPU,2.80 vCPU,2.80 vCPU,2.71 vCPU,2.93 vCPU,11.1 vCPU,9.13 vCPU,10.1 vCPU,6.75 vCPU,7.98 vCPU,,,,,,,,,,
2025-11-16 14:46:00,2.92 vCPU,3.01 vCPU,2.81 vCPU,3.03 vCPU,2.92 vCPU,,,,,,2.90 vCPU,2.89 vCPU,2.96 vCPU,2.83 vCPU,2.83 vCPU,11.2 vCPU,8.93 vCPU,10.3 vCPU,11.1 vCPU,7.65 vCPU,,,,,,,,,,
2025-11-16 14:46:15,3.18 vCPU,3.23 vCPU,3.18 vCPU,2.96 vCPU,3.20 vCPU,,,,,,2.92 vCPU,2.97 vCPU,2.98 vCPU,2.87 vCPU,2.82 vCPU,11.4 vCPU,9.90 vCPU,11.9 vCPU,12.9 vCPU,8.68 vCPU,,,,,,,,,,
2025-11-16 14:46:30,3.10 vCPU,2.96 vCPU,3.11 vCPU,3.22 vCPU,3.20 vCPU,,,,,,2.96 vCPU,2.91 vCPU,2.92 vCPU,2.90 vCPU,2.82 vCPU,7.87 vCPU,9.77 vCPU,9.70 vCPU,13.0 vCPU,7.90 vCPU,,,,,,,,,,
2025-11-16 14:46:45,3.09 vCPU,3.13 vCPU,3.21 vCPU,3.12 vCPU,3.01 vCPU,,,,,,2.83 vCPU,2.73 vCPU,2.77 vCPU,2.92 vCPU,2.99 vCPU,7.83 vCPU,9.03 vCPU,9.18 vCPU,11.2 vCPU,10.6 vCPU,,,,,,,,,,
2025-11-16 14:47:00,2.97 vCPU,2.98 vCPU,2.85 vCPU,2.98 vCPU,2.81 vCPU,,,,,,2.82 vCPU,2.72 vCPU,2.62 vCPU,2.90 vCPU,2.92 vCPU,7.75 vCPU,7.95 vCPU,7.43 vCPU,9.22 vCPU,9.35 vCPU,,,,,,,,,,
2025-11-16 14:47:15,3.06 vCPU,3.09 vCPU,3.06 vCPU,2.82 vCPU,3.08 vCPU,,,,,,2.71 vCPU,2.67 vCPU,2.72 vCPU,2.89 vCPU,2.77 vCPU,8.02 vCPU,8.15 vCPU,7.73 vCPU,9.17 vCPU,10.6 vCPU,,,,,,,,,,
2025-11-16 14:47:30,2.96 vCPU,2.79 vCPU,2.96 vCPU,3.05 vCPU,3.03 vCPU,,,,,,2.65 vCPU,2.70 vCPU,2.85 vCPU,2.98 vCPU,2.86 vCPU,7.73 vCPU,8.30 vCPU,7.55 vCPU,6.03 vCPU,7.72 vCPU,,,,,,,,,,
2025-11-16 14:47:45,2.90 vCPU,3.00 vCPU,3.02 vCPU,3.02 vCPU,2.95 vCPU,,,,,,2.59 vCPU,2.69 vCPU,2.89 vCPU,2.95 vCPU,2.91 vCPU,7.75 vCPU,8.03 vCPU,7.97 vCPU,5.87 vCPU,8.23 vCPU,,,,,,,,,,
2025-11-16 14:48:00,2.94 vCPU,2.96 vCPU,2.82 vCPU,2.94 vCPU,2.82 vCPU,,,,,,2.85 vCPU,3.02 vCPU,2.89 vCPU,2.95 vCPU,3.01 vCPU,7.35 vCPU,12.6 vCPU,9.28 vCPU,5.82 vCPU,6.82 vCPU,,,,,,,,,,
